State,Abbre,Population,Region
Alaska,AK,"731,545",10
Alabama,AL,"4,903,185",4
Arkansas,AR,"3,017,804",6
Arizona,AZ,"7,278,717",9
California,CA,"39,512,223",9
Colorado,CO,"5,758,736",8
Connecticut,CT,"3,565,287",1
District of Columbia,DC,"705,749",3
Delaware,DE,"973,764",3
Florida,FL,"21,477,737",4
Georgia,GA,"10,617,423",4
Hawaii,HI,"1,415,872",9
Iowa,IA,"3,155,070",7
Idaho,ID,"1,787,065",10
Illinois,IL,"12,671,821",5
Indiana,IN,"6,732,219",5
Kansas,KS,"2,913,314",7
Kentucky,KY,"4,467,673",4
Louisiana,LA,"4,648,794",6
Massachusetts,MA,"6,892,503",1
Maryland,MD,"6,045,680",3
Maine,ME,"1,344,212",1
Michigan,MI,"9,986,857",5
Minnesota,MN,"5,639,632",5
Missouri,MO,"6,137,428",7
Mississippi,MS,"2,976,149",4
Montana,MT,"1,068,778",8
North Carolina,NC,"10,488,084",4
North Dakota,ND,"762,062",8
Nebraska,NE,"1,934,408",7
New Hampshire,NH,"1,359,711",1
New Jersey,NJ,"8,882,190",2
New Mexico,NM,"2,096,829",6
Nevada,NV,"3,080,156",9
New York,NY,"19,453,561",2
Ohio,OH,"11,689,100",5
Oklahoma,OK,"3,956,971",6
Oregon,OR,"4,217,737",10
Pennsylvania,PA,"12,801,989",3
Rhode Island,RI,"1,059,361",1
South Carolina,SC,"5,148,714",4
South Dakota,SD,"884,659",8
Tennessee,TN,"6,829,174",4
Texas,TX,"28,995,881",6
Utah,UT,"3,205,958",8
Virginia,VA,"8,535,519",3
Vermont,VT,"623,989",1
Washington,WA,"7,614,893",10
Wisconsin,WI,"5,822,434",5
West Virginia,WV,"1,792,147",3
Wyoming,WY,"578,759",8